vx_pt,vy_pt
151.80080,213.05860
152.25000,212.91410
152.70310,212.75000
153.16020,212.55860
153.61330,212.34770
154.06640,212.11720
154.52340,211.86720
154.97660,211.58980
155.43360,211.29690
155.89060,210.98050
156.34380,210.64450
156.80470,210.28520
157.26170,209.91020
157.71880,209.50780
158.17580,209.08980
158.63670,208.64840
159.09770,208.18360
159.55470,207.69920
160.01560,207.19140
160.47660,206.66020
160.93750,206.10940
161.40230,205.53120
161.86330,204.93360
162.32420,204.30470
162.78910,203.65620
163.25390,202.98050
163.71880,202.27340
164.18360,201.54300
164.64840,200.78120
165.11330,199.99220
165.57810,199.17190
166.04690,198.31640
166.51170,197.43360
166.98050,196.51170
167.44920,195.55470
167.91800,194.56640
168.38670,193.53520
168.85550,192.46880
169.32810,191.35940
169.79690,190.21480
170.26950,189.02340
170.73830,187.78910
171.21090,186.51170
171.68360,185.18750
172.15620,183.81640
172.63280,182.39840
173.10550,180.93360
173.57810,179.41800
174.05470,177.85160
174.53120,176.23830
175.00780,174.57030
175.48440,172.85550
175.96090,171.08590
176.43750,169.26170
176.91410,167.39060
177.39450,165.46480
177.87500,163.48830
178.35160,161.45700
178.83200,159.37890
179.31250,157.25000
179.79300,155.07030
180.27730,152.84380
180.75780,150.57030
181.24220,148.25390
181.72270,145.89060
182.20700,143.48440
182.69140,141.03910
183.17580,138.55860
183.66020,136.03910
184.14840,133.48830
184.63280,130.90620
185.12110,128.30080
185.60550,125.66800
186.09380,123.01560
186.58200,120.34380
187.07030,117.66020
187.56250,114.96480
188.05080,112.26560
188.54300,109.56250
189.03120,106.85940
189.52340,104.16800
190.01560,101.48440
190.50780,98.82030
191.00000,96.17190
191.49610,93.55080
191.98830,90.95700
192.48440,88.40230
192.97660,85.88280
193.47270,83.41020
193.96880,80.98830
194.46480,78.61720
194.96480,76.30860
195.46090,74.06250
195.95700,71.88670
196.45700,69.78120
196.95700,67.75780
197.45700,65.81640
197.95700,63.96480
198.45700,62.20310
198.96090,60.53520
199.46090,58.97270
199.96480,57.51170
200.46880,56.15620
200.96880,54.91410
201.47660,53.78910
201.98050,52.78120
202.48440,51.89450
202.99220,51.12890
203.49610,50.49220
204.00390,49.98050
204.51170,49.60160
205.01950,49.35160
205.52730,49.23830
206.03520,49.25780
206.54690,49.41410
207.05470,49.70310
207.56640,50.12890
208.07810,50.69140
208.58980,51.38670
209.10160,52.21880
209.61330,53.18360
210.12890,54.28120
210.64450,55.50780
211.15620,56.86720
211.67190,58.35160
212.18750,59.96090
212.70310,61.69530
213.22270,63.54300
213.73830,65.51170
214.25780,67.59380
214.77340,69.78520
215.29300,72.08200
215.81250,74.47660
216.33590,76.97270
216.85550,79.56250
217.37500,82.24220
217.89840,85.00780
218.42190,87.85160
218.94530,90.76950
219.46880,93.75780
219.99220,96.81250
220.51560,99.92580
221.04300,103.09380
221.56640,106.31640
222.09380,109.58200
222.62110,112.88670
223.14840,116.22660
223.67970,119.59770
224.20700,122.99220
224.73830,126.40620
225.26560,129.83590
225.79690,133.27730
226.32810,136.72270
226.85940,140.17190
227.39450,143.61330
227.92580,147.05080
228.46090,150.47660
228.99220,153.88670
229.52730,157.27340
230.06250,160.64060
230.59770,163.98050
231.13670,167.29300
231.67190,170.57030
232.21090,173.81250
232.75000,177.01560
233.28910,180.17970
233.82810,183.29690
234.36720,186.37110
234.91020,189.40230
235.44920,192.37890
235.99220,195.30860
236.53520,198.18750
237.07810,201.01170
237.62110,203.78520
238.16800,206.50390
238.71090,209.16800
239.25780,211.78120
239.80470,214.33590
240.35160,216.83980
240.89840,219.28520
241.44530,221.67970
241.99220,224.01950
242.54300,226.30860
243.09380,228.54690
243.64450,230.73050
244.19530,232.86720
244.74610,234.95700
245.30080,236.99610
245.85160,238.98830
246.40620,240.93750
246.96090,242.84380
247.51560,244.70700
248.07030,246.52730
248.62500,248.31250
249.18360,250.05860
249.74220,251.76560
250.29690,253.44140
250.85940,255.08590
251.41800,256.69530
251.97660,258.27340
252.53910,259.82420
253.09770,261.34770
253.66020,262.84770
254.22270,264.32030
254.78520,265.76950
255.35160,267.19530
255.91410,268.60160
256.48050,269.98440
257.04690,271.35160
257.61330,272.69920
258.17970,274.02730
258.74610,275.33980
259.31250,276.63670
259.88280,277.91800
260.45310,279.18360
261.02340,280.43360
261.59380,281.66800
262.16410,282.89060
262.73830,284.09770
263.31250,285.29300
263.88280,286.47270
264.45700,287.63670
265.03520,288.78910
265.60940,289.92970
266.18360,291.05080
266.76170,292.16410
267.33980,293.25780
267.91800,294.33980
268.49610,295.40620
269.07420,296.45700
269.65620,297.49220
270.23830,298.51170
270.82030,299.51170
271.40230,300.50000
271.98440,301.46880
272.56640,302.42190
273.15230,303.35550
273.73440,304.27340
274.32030,305.17580
274.90620,306.05470
275.49610,306.91800
276.08200,307.76170
276.67190,308.58980
277.26170,309.39450
277.84770,310.18360
278.44140,310.95310
279.03120,311.70310
279.62110,312.43750
280.21480,313.14840
280.80860,313.84380
281.40230,314.51950
281.99610,315.17970
282.59380,315.82030
283.18750,316.44530
283.78520,317.05080
284.38280,317.64060
284.98050,318.21880
285.57810,318.77730
286.17970,319.32030
286.77730,319.85160
287.37890,320.36720
287.98050,320.87110
288.58200,321.36330
289.18360,321.84380
289.78910,322.31250
290.39450,322.76950
291.00000,323.21880
291.60550,323.66020
292.21090,324.08980
292.81640,324.51560
293.42580,324.93360
294.03520,325.34380
294.64450,325.75000
295.25390,326.15230
295.86330,326.55080
296.47660,326.94140
297.08980,327.33200
297.70310,327.71880
298.31640,328.10550
298.92970,328.49220
299.54690,328.87500
300.16020,329.25780
300.77730,329.63670
301.39450,330.01950
302.01170,330.40230
302.63280,330.78520
303.25390,331.16800
303.87110,331.55080
304.49220,331.93360
305.11720,332.31640
305.73830,332.70310
306.35940,333.08590
306.98440,333.47270
307.60940,333.85940
308.23440,334.24220
308.86330,334.62890
309.48830,335.01560
310.11720,335.39840
310.74610,335.78120
311.37500,336.16410
312.00390,336.54300
312.63670,336.92190
313.26560,337.29690
313.89840,337.66800
314.53120,338.03910
315.16800,338.40230
315.80080,338.76560
316.43750,339.12110
317.07420,339.47270
317.71090,339.81640
318.34770,340.16020
318.98830,340.49220
319.62500,340.82030
320.26560,341.14060
320.90620,341.45700
321.54690,341.76170
322.19140,342.06250
322.83590,342.35160
323.47660,342.63670
324.12110,342.91410
324.76950,343.17970
325.41410,343.43750
326.06250,343.69140
326.71090,343.93360
327.35940,344.16800
328.00780,344.39450
328.66020,344.61330
329.30860,344.82420
329.96090,345.02730
330.61330,345.22270
331.26560,345.41020
331.92190,345.59380
332.57810,345.76560
333.23440,345.93750
333.89060,346.09770
334.54690,346.25780
335.20700,346.41020
335.86330,346.55860
336.52340,346.70310
337.18360,346.84380
337.84770,346.98050
338.50780,347.11720
339.17190,347.25000
339.83590,347.37890
340.50000,347.50780
341.16800,347.63670
341.83200,347.76560
342.50000,347.89450
343.16800,348.01950
343.83980,348.15230
344.50780,348.28120
345.17970,348.41410
345.85160,348.54690
346.52340,348.68360
347.19530,348.82030
347.87110,348.96090
348.54300,349.10550
349.21880,349.25000
349.89840,349.39840
350.57420,349.55080
351.25390,349.70700
351.92970,349.86720
352.60940,350.03120
353.29300,350.19530
353.97270,350.36330
354.65620,350.53520
355.33980,350.70700
356.02340,350.88670
356.70700,351.06640
357.39450,351.24610
358.08200,351.42970
358.76950,351.61330
359.45700,351.80080
360.14840,351.98440
360.83590,352.17190
361.52730,352.35940
362.21880,352.54690
362.91410,352.73440
363.60550,352.91800
364.30080,353.10550
364.99610,353.28520
365.69140,353.46480
366.39060,353.64450
367.08980,353.82030
367.78910,353.99220
368.48830,354.16020
369.18750,354.32420
369.89060,354.48440
370.59380,354.64060
371.29690,354.78910
372.00000,354.93750
372.70700,355.07810
373.41020,355.21090
374.11720,355.33980
374.82810,355.46480
375.53520,355.58200
376.24610,355.69530
376.95700,355.80470
377.66800,355.90620
378.37890,356.00000
379.09380,356.08980
379.80860,356.17580
380.52340,356.25390
381.23830,356.32810
381.95700,356.39840
382.67580,356.46090
383.39450,356.52340
384.11330,356.57810
384.83200,356.63280
385.55470,356.67970
386.27730,356.72660
387.00000,356.76950
387.72660,356.81250
388.45310,356.85160
389.17970,356.89060
389.90620,356.92580
390.63280,356.96090
391.36330,356.99610
392.09380,357.03120
392.82420,357.07030
393.55470,357.10550
394.28910,357.14450
395.02340,357.18360
395.75780,357.22660
396.49220,357.26950
397.23050,357.31640
397.96880,357.36720
398.70700,357.41800
399.44530,357.47270
400.18750,357.53520
400.92970,357.59770
401.67190,357.66410
402.41410,357.73440
403.16020,357.80860
403.90620,357.88670
404.65230,357.96480
405.39840,358.05080
406.14840,358.14060
406.89840,358.23440
407.64840,358.33200
408.39840,358.42970
409.15230,358.53520
409.90620,358.64060
410.66020,358.75000
411.41410,358.85940
412.17190,358.97270
412.92970,359.08590
413.68750,359.20310
414.44530,359.32030
415.20700,359.43750
415.96880,359.55470
416.73050,359.67190
417.49220,359.78910
418.25780,359.90620
419.02340,360.02340
419.78910,360.13670
420.55860,360.24610
421.32420,360.35550
422.09380,360.46090
422.86720,360.56640
423.63670,360.66800
424.41020,360.76170
425.18360,360.85550
425.95700,360.94530
426.73440,361.02730
427.51170,361.10940
428.28910,361.18360
429.06640,361.25390
429.84770,361.32030
430.62890,361.37890
431.41020,361.43360
432.19140,361.48440
432.97660,361.52730
433.76170,361.57030
434.54690,361.60550
435.33590,361.63280
436.12500,361.66020
436.91410,361.68360
437.70310,361.69920
438.49610,361.71480
439.28910,361.72270
440.08200,361.73050
440.87500,361.73440
441.67190,361.73440
442.46880,361.73440
443.26560,361.73050
444.06640,361.72660
444.86720,361.71880
445.66800,361.71090
446.46880,361.70310
447.27340,361.69920
448.07810,361.69140
448.88280,361.68360
449.68750,361.67970
450.49610,361.67580
451.30470,361.67580
452.11720,361.67580
452.92580,361.67970
453.73830,361.68750
454.55080,361.69530
455.36720,361.70700
456.18360,361.72660
457.00000,361.74610
457.81640,361.76950
458.63670,361.79690
459.45700,361.83200
460.27730,361.86720
461.09770,361.91020
461.92190,361.95310
462.74610,362.00390
463.57420,362.05860
464.39840,362.11720
465.22660,362.17580
466.05470,362.24220
466.88670,362.31250
467.71880,362.38280
468.55080,362.46090
469.38280,362.53910
470.21880,362.61720
471.05470,362.70310
471.89060,362.78520
472.73050,362.87110
473.57030,362.96090
474.41020,363.04690
475.25390,363.13670
476.09380,363.22270
476.94140,363.31250
477.78520,363.39840
478.63280,363.48440
479.48050,363.56640
480.32810,363.64840
481.17970,363.72660
482.03120,363.80080
482.88280,363.87500
483.73440,363.94530
484.58980,364.01170
485.44530,364.07420
486.30470,364.12890
487.16020,364.18360
488.02340,364.23050
488.88280,364.27340
489.74610,364.31250
490.60940,364.34770
491.47270,364.37500
492.33980,364.39840
493.20700,364.41800
494.07420,364.42970
494.94140,364.43750
495.81250,364.44140
496.68360,364.44140
497.55860,364.43750
498.43360,364.42580
499.30860,364.41410
500.18360,364.39840
501.06250,364.37500
501.94140,364.35160
502.82420,364.32810
503.70700,364.30080
504.58980,364.26950
505.47270,364.23830
506.35940,364.20700
507.24610,364.17190
508.13280,364.14060
509.02340,364.10550
509.91410,364.07420
510.80470,364.04300
511.69920,364.01170
512.59380,363.98440
513.48830,363.95700
514.38670,363.93360
515.28520,363.91410
516.18360,363.89450
517.08590,363.88280
517.98830,363.87110
518.89060,363.86720
519.79690,363.86720
520.70310,363.86720
521.60940,363.87500
522.51950,363.88670
523.42970,363.90620
524.33980,363.92580
525.25390,363.95310
526.16800,363.98440
527.08200,364.02340
528.00000,364.06250
528.91800,364.10940
529.83590,364.15620
530.75780,364.21090
531.67970,364.26950
532.60160,364.32810
533.52730,364.39450
534.45310,364.46090
535.38280,364.52730
536.31250,364.60160
537.24220,364.67190
538.17190,364.74610
539.10550,364.82420
540.03910,364.89840
540.97660,364.97270
541.91410,365.05080
542.85160,365.12500
543.78910,365.19530
544.73050,365.26950
545.67580,365.33590
546.61720,365.40230
547.56250,365.46480
548.51170,365.52730
549.45700,365.58200
550.41020,365.63280
551.35940,365.68360
552.31250,365.72660
553.26560,365.76560
554.22270,365.79690
555.17580,365.82420
556.13670,365.84770
557.09380,365.86330
558.05470,365.87500
559.01950,365.88280
559.98050,365.88280
560.94530,365.87890
561.91410,365.86720
562.88280,365.85160
563.85160,365.83200
564.82420,365.80860
565.79300,365.77730
566.76950,365.74610
567.74220,365.70700
568.72270,365.66410
569.69920,365.62110
570.67970,365.57420
571.66020,365.52340
572.64450,365.47270
573.62500,365.42190
574.61330,365.36720
575.60160,365.31250
576.58980,365.25780
577.57810,365.20310
578.57030,365.15230
579.56250,365.09770
580.55860,365.05080
581.55470,365.00000
582.55080,364.95700
583.55080,364.91410
584.55080,364.87500
585.55470,364.84380
586.55860,364.81250
587.56250,364.78520
588.57030,364.76560
589.57810,364.75000
590.58590,364.74220
591.59770,364.73440
592.61330,364.73440
593.62500,364.74220
594.64060,364.75390
595.66020,364.76950
596.67970,364.79300
597.69920,364.82030
598.72270,364.85550
599.74610,364.89450
600.76950,364.93750
601.79690,364.98830
602.82810,365.03910
603.85550,365.09770
604.88670,365.15620
605.92190,365.21880
606.95700,365.28520
607.99220,365.35550
609.03120,365.42580
610.07030,365.49610
611.11330,365.57030
612.15620,365.64450
613.19920,365.71880
614.24610,365.78910
615.29300,365.86330
616.34380,365.93360
617.39450,366.00000
618.44530,366.06640
619.50000,366.12890
620.55860,366.18750
621.61330,366.24220
622.67580,366.29300
623.73440,366.33590
624.79690,366.37890
625.86330,366.41410
626.92970,366.44140
627.99610,366.46480
629.06640,366.48050
630.13670,366.49220
631.20700,366.49610
632.28120,366.49610
633.35940,366.48830
634.43750,366.47270
635.51560,366.45310
636.59770,366.42580
637.67970,366.39060
638.76560,366.35550
639.85160,366.30860
640.93750,366.26170
642.02730,366.20700
643.12110,366.14840
644.21480,366.08590
645.30860,366.01950
646.40620,365.95310
647.50390,365.87890
648.60160,365.80860
649.70310,365.73050
650.80860,365.65620
651.91410,365.58200
653.01950,365.50390
654.12890,365.42970
655.24220,365.35550
656.35160,365.28520
657.46880,365.21480
